"Date";"Significant height (cm)";"Significant period (sec)";"EN (22+ cm2)";"EN (20 cm2)";"EN (17 cm2)";"EN (15 cm2)";"EN (13 cm2)";"EN (11 cm2)";"EN (9 cm2)";"EN (7 cm2)";"EN (5 cm2)";"EN (3 cm2)"
"2016-08-05 18:46:00";"208";"10";"1";"0";"0";"132";"0";"0";"1720";"514";"344";"0"
"2016-08-05 19:46:00";"106";"16";"0";"0";"0";"309";"0";"0";"158";"157";"82";"0"
"2016-08-05 20:46:00";"137";"16";"1";"0";"0";"430";"0";"0";"416";"111";"211";"0"
"2016-08-05 21:46:00";"171";"10";"1";"0";"0";"258";"0";"0";"759";"406";"400";"0"
"2016-08-05 22:46:00";"110";"16";"1";"0";"0";"328";"0";"0";"254";"23";"154";"0"
"2016-08-05 23:46:00";"154";"10";"1";"0";"0";"217";"0";"0";"562";"168";"526";"0"
"2016-08-06 00:46:00";"182";"10";"2";"0";"0";"555";"0";"0";"751";"578";"186";"0"
"2016-08-06 01:46:00";"113";"6";"1";"0";"0";"32";"0";"0";"203";"163";"404";"0"
"2016-08-06 02:46:00";"139";"10";"2";"0";"0";"57";"0";"0";"862";"228";"52";"0"
"2016-08-06 03:46:00";"171";"10";"1";"0";"0";"516";"0";"0";"970";"147";"187";"0"
"2016-08-06 04:46:00";"208";"7";"1";"0";"0";"122";"0";"0";"1053";"1454";"65";"0"
"2016-08-06 05:46:00";"108";"6";"1";"0";"0";"132";"0";"0";"173";"150";"270";"0"
"2016-08-06 06:46:00";"229";"10";"1";"0";"0";"366";"0";"0";"2369";"312";"228";"0"
"2016-08-06 07:46:00";"138";"10";"1";"0";"0";"320";"0";"0";"728";"92";"47";"0"
"2016-08-06 08:46:00";"173";"10";"1";"0";"0";"67";"0";"0";"1489";"106";"214";"0"
"2016-08-06 09:46:00";"110";"10";"2";"0";"0";"34";"0";"0";"643";"45";"34";"0"
"2016-08-06 10:46:00";"163";"10";"1";"0";"0";"52";"0";"0";"1424";"121";"62";"0"
"2016-08-06 11:46:00";"96";"10";"1";"0";"0";"82";"0";"0";"343";"56";"99";"0"
"2016-08-06 12:46:00";"125";"10";"1";"0";"0";"103";"0";"0";"535";"265";"78";"0"
"2016-08-06 13:46:00";"173";"10";"1";"0";"0";"110";"0";"0";"1160";"476";"120";"0"
"2016-08-06 14:46:00";"117";"10";"0";"0";"0";"20";"0";"0";"587";"43";"200";"0"
"2016-08-06 15:46:00";"164";"10";"1";"0";"0";"102";"0";"0";"1161";"101";"313";"0"
"2016-08-06 16:46:00";"153";"10";"1";"0";"0";"146";"0";"0";"1082";"141";"97";"0"
"2016-08-06 17:46:00";"118";"10";"1";"0";"0";"35";"0";"0";"409";"389";"37";"0"
"2016-08-06 18:46:00";"121";"10";"0";"0";"0";"102";"0";"0";"538";"209";"64";"0"
"2016-08-06 19:46:00";"127";"10";"0";"0";"0";"18";"0";"0";"812";"104";"67";"0"
"2016-08-06 20:46:00";"141";"10";"0";"0";"0";"108";"0";"0";"853";"246";"35";"0"
"2016-08-06 21:46:00";"119";"10";"0";"0";"0";"38";"0";"0";"378";"325";"148";"0"
"2016-08-06 22:46:00";"133";"10";"1";"0";"0";"40";"0";"0";"982";"57";"26";"0"
"2016-08-06 23:46:00";"119";"10";"0";"0";"0";"44";"0";"0";"618";"96";"124";"0"
"2016-08-07 00:46:00";"141";"10";"0";"0";"0";"145";"0";"0";"768";"114";"208";"0"
"2016-08-07 01:46:00";"82";"10";"0";"0";"0";"71";"0";"0";"163";"128";"57";"0"
"2016-08-07 02:46:00";"100";"10";"0";"0";"0";"70";"0";"0";"281";"154";"119";"0"
"2016-08-07 03:46:00";"161";"10";"1";"0";"0";"113";"0";"0";"1029";"383";"86";"0"
"2016-08-07 04:46:00";"91";"10";"1";"0";"0";"17";"0";"0";"200";"133";"172";"0"
"2016-08-07 05:46:00";"136";"10";"0";"0";"0";"47";"0";"0";"539";"520";"46";"0"
"2016-08-07 06:46:00";"132";"10";"1";"0";"0";"78";"0";"0";"799";"184";"22";"0"
"2016-08-07 07:46:00";"95";"10";"1";"0";"0";"29";"0";"0";"294";"179";"62";"0"
"2016-08-07 08:46:00";"90";"10";"0";"0";"0";"88";"0";"0";"182";"157";"82";"0"
"2016-08-07 09:46:00";"153";"10";"1";"0";"0";"211";"0";"0";"858";"296";"104";"0"
"2016-08-07 10:46:00";"133";"10";"1";"0";"0";"41";"0";"0";"637";"261";"161";"0"
"2016-08-07 11:46:00";"92";"10";"1";"0";"0";"71";"0";"0";"290";"128";"41";"0"
"2016-08-07 12:46:00";"112";"7";"0";"0";"0";"165";"0";"0";"108";"349";"168";"0"
"2016-08-07 13:46:00";"150";"10";"1";"0";"0";"25";"0";"0";"887";"339";"154";"0"
"2016-08-07 14:46:00";"85";"10";"0";"0";"0";"40";"0";"0";"184";"124";"104";"0"
"2016-08-07 15:46:00";"108";"10";"0";"0";"0";"55";"0";"0";"458";"134";"78";"0"
"2016-08-07 16:46:00";"96";"10";"1";"0";"0";"93";"0";"0";"340";"54";"86";"0"
"2016-08-07 17:46:00";"154";"16";"1";"0";"0";"572";"0";"0";"178";"263";"463";"0"
