Date;Date (PC1900);Time, Instrument (julian days);Temperature (ITS-90, deg C);Conductivity (S/m);Salinity, Practical (PSU);Oxygen, SBE43 (mL/L);Oxygen, SBE43 (% saturation);pH
10/04/2009 18:01;39913.8;100.751;26.3041;5.63438;36.3841;4.2681;92.8091;8.167
10/04/2009 18:31;39913.8;100.772;26.8306;5.68788;36.3566;4.3351;95.0789;8.172
10/04/2009 19:01;39913.8;100.792;26.6691;5.67184;36.3677;4.30343;94.1381;8.167
10/04/2009 19:31;39913.8;100.813;27.0195;5.70658;36.343;4.35259;95.7537;8.174
10/04/2009 20:01;39913.8;100.834;26.009;5.60201;36.3818;4.21437;91.1892;8.163
10/04/2009 20:31;39913.9;100.855;26.5013;5.65395;36.3705;4.30589;93.9311;8.17
10/04/2009 21:01;39913.9;100.876;27.0703;5.71183;36.341;4.34953;95.7655;8.176
10/04/2009 21:31;39913.9;100.897;26.1357;5.6161;36.3843;4.24372;92.0201;8.167
10/04/2009 22:01;39913.9;100.917;25.7649;5.57573;36.3833;4.15365;89.5092;8.162
10/04/2009 22:31;39913.9;100.938;26.1982;5.62303;36.3853;4.26351;92.5463;8.172
10/04/2009 23:01;39914;100.959;26.1836;5.62156;36.3861;4.25495;92.3385;8.168
10/04/2009 23:31;39914;100.98;26.1902;5.62239;36.387;4.24587;92.1519;8.171
11/04/2009 00:01;39914;101.001;26.1856;5.62187;36.3868;4.27733;92.8275;8.171
11/04/2009 00:01;39914;101.001;26.1856;5.62187;36.3868;4.2773;92.8268;8.171
11/04/2009 00:31;39914;101.022;25.7568;5.57565;36.3892;4.1394;89.193;8.165
11/04/2009 01:01;39914;101.042;26.2351;5.62748;36.3885;4.28104;92.9857;8.171
11/04/2009 01:31;39914.1;101.063;26.2736;5.63115;36.3848;4.2776;92.9688;8.171
11/04/2009 02:01;39914.1;101.084;26.372;5.64231;36.3881;4.2993;93.5952;8.173
11/04/2009 02:31;39914.1;101.105;27.1238;5.71694;36.3358;4.27699;94.2489;8.173
11/04/2009 03:01;39914.1;101.126;27.3588;5.74076;36.3228;4.28237;94.7261;8.177
11/04/2009 03:31;39914.1;101.147;27.0692;5.71254;36.3469;4.30491;94.7847;8.173
11/04/2009 04:01;39914.2;101.167;27.0794;5.71356;36.3463;4.31412;95.0029;8.175
11/04/2009 04:31;39914.2;101.188;26.8393;5.68883;36.3566;4.30768;94.4911;8.174
11/04/2009 05:01;39914.2;101.209;26.6693;5.67245;36.372;4.29939;94.0522;8.171
11/04/2009 05:31;39914.2;101.23;26.6738;5.67334;36.3749;4.3309;94.7502;8.174
11/04/2009 06:01;39914.2;101.251;26.6885;5.67506;36.3758;4.34431;95.0672;8.176
11/04/2009 06:31;39914.3;101.272;26.6467;5.67093;36.3788;4.32477;94.5756;8.176
11/04/2009 07:01;39914.3;101.292;26.6673;5.67418;36.386;4.35222;95.2123;8.175
11/04/2009 07:31;39914.3;101.313;26.127;5.61551;36.3868;4.26044;92.3706;8.173
11/04/2009 08:01;39914.3;101.334;25.8544;5.58573;36.3854;4.21469;90.9622;8.167
11/04/2009 08:31;39914.4;101.355;25.8015;5.5798;36.3842;4.20993;90.7782;8.171
11/04/2009 09:01;39914.4;101.376;25.774;5.57672;36.3834;4.16585;89.7859;8.169
11/04/2009 09:31;39914.4;101.397;26.8537;5.69119;36.3623;4.32015;94.7904;8.179
11/04/2009 10:01;39914.4;101.417;28.0223;5.8009;36.2356;4.14722;92.6933;8.173
11/04/2009 10:31;39914.4;101.438;27.4173;5.74597;36.3145;4.23474;93.7583;8.172
11/04/2009 11:01;39914.5;101.459;27.9599;5.79722;36.2577;4.27894;95.5519;8.181
11/04/2009 11:31;39914.5;101.48;26.4998;5.65476;36.3776;4.28475;93.4715;8.171
11/04/2009 12:01;39914.5;101.501;26.2426;5.62808;36.387;4.25691;92.4722;8.173
11/04/2009 12:31;39914.5;101.522;26.465;5.65189;36.3842;4.29589;93.6639;8.175
11/04/2009 13:01;39914.5;101.542;26.9408;5.69927;36.3522;4.31213;94.7451;8.177
11/04/2009 13:31;39914.6;101.563;27.0365;5.70886;36.3461;4.33307;95.3527;8.179
11/04/2009 14:01;39914.6;101.584;27.8301;5.78612;36.2795;4.29523;95.7243;8.182
11/04/2009 14:31;39914.6;101.605;27.7657;5.78006;36.2864;4.31897;96.1559;8.182
11/04/2009 15:01;39914.6;101.626;28.1772;5.81578;36.2212;4.09066;91.653;8.17
11/04/2009 15:31;39914.6;101.647;27.7839;5.78168;36.2838;4.30426;95.8554;8.18
11/04/2009 16:01;39914.7;101.667;26.6114;5.66654;36.3749;4.29892;93.9531;8.174
11/04/2009 16:31;39914.7;101.688;26.7;5.67502;36.3665;4.30133;94.1396;8.175
11/04/2009 17:01;39914.7;101.709;27.2542;5.73006;36.3279;4.34305;95.9061;8.178
11/04/2009 17:31;39914.7;101.73;27.2101;5.72581;36.332;4.32818;95.5104;8.181
11/04/2009 18:01;39914.8;101.751;27.0826;5.71324;36.3415;4.30129;94.7229;8.177
11/04/2009 18:31;39914.8;101.772;28.2703;5.82378;36.206;4.06667;91.2458;8.171
11/04/2009 19:01;39914.8;101.792;28.42;5.8373;36.1861;4.08716;91.9185;8.175
